CIM10;;"SFMU
SFMU";REGROUPEMENTS CIM10 FEDORU;;
N988;Autres complications de la fécondation artificielle;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;Vulvo-vaginites, salpingites et autre gynécologie
N989;Complication de la fécondation artificielle, sans précision;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;Vulvo-vaginites, salpingites et autre gynécologie
N99;Affections de l'appareil génito-urinaire après un acte à visée diagnostique et thérapeutique, non classées ailleurs;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;Vulvo-vaginites, salpingites et autre gynécologie
N990;Insuffisance rénale après un acte à visée diagnostique et thérapeutique;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;Vulvo-vaginites, salpingites et autre gynécologie
N991;Rétrécissement urétral après un acte à visée diagnostique et thérapeutique;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;Vulvo-vaginites, salpingites et autre gynécologie
N992;Adhérences vaginales post-opératoires;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;Vulvo-vaginites, salpingites et autre gynécologie
N993;Prolapsus de la paroi supérieure du vagin après hystérectomie;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;Vulvo-vaginites, salpingites et autre gynécologie
N994;Adhérences pelvi-péritonéales après un acte à visée diagnostique et thérapeutique;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;Vulvo-vaginites, salpingites et autre gynécologie
N995;Mauvais fonctionnement de stomie de l'appareil urinaire;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;Vulvo-vaginites, salpingites et autre gynécologie
N998;Autres affections de l'appareil génito-urinaire après un acte à visée diagnostique et thérapeutique;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autre affection uro-génitale
N999;Affection de l'appareil génito-urinaire après un acte à visée diagnostique et thérapeutique, sans précision;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autre affection uro-génitale
O00;Grossesse extra-utérine;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O000;Grossesse abdominale;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O001;Grossesse tubaire;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O002;Grossesse ovarienne;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O008;Autres grossesses extra-utérines;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O009;Grossesse extra-utérine, sans précision;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O01;Môle hydatiforme;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O010;Môle hydatiforme classique;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O011;Môle hydatiforme incomplète et partielle;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O019;Môle hydatiforme, sans précision;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O02;Autres produits anormaux de la conception;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O020;Oeuf clair et môle non hydatiforme;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O021;Rétention d'un foetus mort in utero;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O028;Autres produits anormaux de la conception, précisés;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O029;Produit anormal de la conception, sans précision;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O03;Avortement spontané;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O030;Avortement spontané incomplet, compliqué d'une infection de l'appareil génital et des organes pelviens;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O031;Avortement spontané incomplet, compliqué d'une hémorragie retardée ou sévère;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O032;Avortement spontané incomplet, compliqué d'une embolie;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O033;Avortement spontané incomplet, avec complications autres et non précisées;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O034;Avortement spontané incomplet, sans complication;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O035;Avortement spontané complet ou sans précision, compliqué d'une infection de l'appareil génital et des organes pelviens;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O036;Avortement spontané complet ou sans précision, compliqué d'une hémorragie retardée ou sévère;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O037;Avortement spontané complet ou sans précision, compliqué d'une embolie;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O038;Avortement spontané complet ou sans précision, avec complications autres et non précisées;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O039;Avortement spontané complet ou sans précision, sans complication;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O04;Avortement médical;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O040;Avortement médical incomplet, compliqué d'une infection de l'appareil génital et des organes pelviens;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O041;Avortement médical incomplet, compliqué d'une hémorragie retardée ou sévère;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O042;Avortement médical incomplet, compliqué d'une embolie;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O043;Avortement médical incomplet, avec complications autres et non précisées;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O044;Avortement médical incomplet, sans complication;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O045;Avortement médical complet ou sans précision, compliqué d'une infection de l'appareil génital et des organes pelviens;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O046;Avortement médical complet ou sans précision, compliqué d'une hémorragie retardée ou sévère;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O047;Avortement médical complet ou sans précision, compliqué d'une embolie;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O048;Avortement médical complet ou sans précision, avec complications autres et non précisées;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O049;Avortement médical complet ou sans précision, sans complication;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O05;Autres formes d'avortement;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O050;Autres formes d'avortement incomplet, compliqué d'une infection de l'appareil génital et des organes pelviens;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O051;Autres formes d'avortement incomplet, compliqué d'une hémorragie retardée ou sévère;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O052;Autres formes d'avortement incomplet, compliqué d'une embolie;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O053;Autres formes d'avortement incomplet, avec complications autres et non précisées;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O054;Autres formes d'avortement incomplet, sans complication;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O055;Autres formes d'avortement complet ou sans précision, compliqué d'une infection de l'appareil génital et des organes pelviens;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O056;Autres formes d'avortement complet ou sans précision, compliqué d'une hémorragie retardée ou sévère;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O057;Autres formes d'avortement complet ou sans précision, compliqué d'une embolie;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O058;Autres formes d'avortement complet ou sans précision, avec complications autres et non précisées;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O059;Autres formes d'avortement complet ou sans précision, sans complication;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O06;Avortement, sans précision;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O060;Avortement sans précision, incomplet, compliqué d'une infection de l'appareil génital et des organes pelviens;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O061;Avortement sans précision, incomplet, compliqué d'une hémorragie retardée ou sévère;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O062;Avortement sans précision, incomplet, compliqué d'une embolie;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O063;Avortement sans précision, incomplet, avec complications autres et non précisées;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O064;Avortement sans précision, incomplet, sans complication;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O065;Avortement sans précision, complet ou sans précision, compliqué d'une infection de l'appareil génital et des organes pelviens;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O066;Avortement sans précision, complet ou sans précision, compliqué d'une hémorragie retardée ou sévère;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O067;Avortement sans précision, complet ou sans précision, compliqué d'une embolie;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O068;Avortement sans précision, complet ou sans précision, avec complications autres et non précisées;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O069;Avortement, sans précision, complet ou sans précision, sans complication;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O07;Échec d'une tentative d'avortement;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O070;Échec d'une tentative d'avortement médical, compliqué d'une infection de l'appareil génital et des organes pelviens;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O071;Échec d'une tentative d'avortement médical, compliqué d'une hémorragie retardée ou sévère;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O072;Échec d'une tentative d'avortement médical, compliqué d'une embolie;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O073;Échec d'une tentative d'avortement médical, avec complications autres et non précisées;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O074;Échec d'une tentative d'avortement médical, sans complication;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O075;Échec d'une tentative d'avortement, autres et sans précision, compliqués d'une infection de l'appareil génital et des organes pelviens;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O076;Échec d'une tentative d'avortement, autres et sans précision, compliqués d'une hémorragie retardée ou sévère;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O077;Échec d'une tentative d'avortement, autres et sans précision, compliqués d'une embolie;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O078;Échec d'une tentative d'avortement, autres et sans précision, avec complications autres et non précisées;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O079;Échec d'une tentative d'avortement, autres et sans précision, sans complication;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O08;Complications consécutives à un avortement, une grossesse extra-utérine et molaire;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O080;Infection de l'appareil génital et des organes pelviens consécutive à un avortement, une grossesse extra-utérine et molaire;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O081;Hémorragie retardée ou sévère consécutive à un avortement, une grossesse extra-utérine et molaire;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O082;Embolie consécutive à un avortement, une grossesse extra-utérine et molaire;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O083;Choc consécutif à un avortement, une grossesse extra-utérine et molaire;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O084;Insuffisance rénale consécutive à un avortement, une grossesse extra-utérine et molaire;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O085;Troubles du métabolisme consécutifs à un avortement, une grossesse extra-utérine et molaire;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O086;Lésions des organes et tissus pelviens consécutives à un avortement, une grossesse extra-utérine et molaire;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O087;Autres complications veineuses consécutives à un avortement, une grossesse extra-utérine et molaire;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O088;Autres complications consécutives à un avortement, une grossesse extra-utérine et molaire;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O089;Complication consécutive à un avortement, une grossesse extra-utérine et molaire, sans précision;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O10;Hypertension préexistante compliquant la grossesse, l'accouchement et la puerpéralité;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O100;Hypertension essentielle préexistante compliquant la grossesse, l'accouchement et la puerpéralité;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O101;Cardiopathie hypertensive préexistante compliquant la grossesse, l'accouchement et la puerpéralité;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O102;Néphropathie hypertensive préexistante compliquant la grossesse, l'accouchement et la puerpéralité;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O103;Cardionéphropathie hypertensive préexistante compliquant la grossesse, l'accouchement et la puerpéralité;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O104;Hypertension secondaire préexistante compliquant la grossesse, l'accouchement et la puerpéralité;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O109;Hypertension préexistante compliquant la grossesse, l'accouchement et la puerpéralité, sans précision;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O11;Prééclampsie surajoutée à une hypertension chronique;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O12;Oedème et protéinurie gestationnels [liés à la grossesse] sans hypertension;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O120;Oedème gestationnel;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O121;Protéinurie gestationnelle;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O122;Oedème gestationnel avec protéinurie;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O13;Hypertension gestationnelle [liée à la grossesse];OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O14;Hypertension gestationnelle [liée à la grossesse] avec protéinurie importante;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O140;Prééclampsie modérée;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O141;Prééclampsie sévère;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O142;Syndrome HELLP ;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O149;Prééclampsie, sans précision;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O15;Éclampsie;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O150;Éclampsie au cours de la grossesse;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O151;Éclampsie au cours du travail;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O152;Éclampsie au cours de la puerpéralité;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O159;Éclampsie, sans précision quant à la période;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O16;Hypertension de la mère, sans précision;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O20;Hémorragie du début de la grossesse;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O200;Menace d'avortement;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O208;Autres hémorragies du début de la grossesse;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O209;Hémorragie du début de la grossesse, sans précision;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;GEU, fausse couche, hémorragie obstétricale
O21;Vomissements incoercibles au cours de la grossesse;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O210;Hyperémèse gravidique bénigne;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O211;Hyperémèse gravidique avec troubles métaboliques;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O212;Vomissements tardifs de la grossesse;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O218;Autres vomissements compliquant la grossesse;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O219;Vomissements de la grossesse, sans précision;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O22;Complications veineuses de la grossesse;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O220;Varices (des membres inférieurs) au cours de la grossesse;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O221;Varices des organes génitaux au cours de la grossesse;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O222;Thrombophlébite (superficielle) au cours de la grossesse;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O223;Phlébothrombose profonde au cours de la grossesse;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O224;Hémorroïdes au cours de la grossesse;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O225;Thrombose veineuse cérébrale au cours de la grossesse;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O228;Autres complications veineuses de la grossesse;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O229;Complication veineuse de la grossesse, sans précision;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O23;Infections de l'appareil génito-urinaire au cours de la grossesse;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O230;Infections rénales au cours de la grossesse;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O231;Infections vésicales au cours de la grossesse;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O232;Infections urétrales au cours de la grossesse;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O233;Infections d'autres parties de l'appareil urinaire au cours de la grossesse;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O234;Infection non précisée de l'appareil urinaire au cours de la grossesse;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O235;Infections de l'appareil génital au cours de la grossesse;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O239;Infections de l'appareil génito-urinaire au cours de la grossesse, autres et sans précision;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O24;Diabète sucré au cours de la grossesse;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O240;Diabète sucré préexistant, insulino-dépendant, au cours de la grossesse;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O241;Diabète sucré préexistant, non insulino-dépendant, au cours de la grossesse;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O242;Diabète sucré préexistant lié à la malnutrition, au cours de la grossesse;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O243;Diabète sucré préexistant, sans précision, au cours de la grossesse;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O244;Diabète sucré survenant au cours de la grossesse;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O249;Diabète sucré au cours de la grossesse, sans précision;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O25;Malnutrition au cours de la grossesse;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O26;Soins maternels pour d'autres affections liées principalement à la grossesse;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O260;Prise de poids excessive au cours de la grossesse;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O261;Faible prise de poids au cours de la grossesse;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O262;Soins au cours de la grossesse pour avortement à répétition;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O263;Rétention d'un stérilet au cours de la grossesse;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O264;Herpes gestationis;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O265;Syndrome d'hypotension maternelle;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O266;Affections hépatiques au cours de la grossesse, de l'accouchement et de la puerpéralité;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
O267;Subluxation de la symphyse (pubienne) au cours de la grossesse, de l'accouchement et de la puerpéralité;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
O268;Autres affections précisées liées à la grossesse;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O269;Affection liée à la grossesse, sans précision;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O28;Résultats anormaux constatés au cours de l'examen prénatal systématique de la mère;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O280;Résultats hématologiques anormaux au cours de l'examen prénatal systématique de la mère;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O281;Résultats biochimiques anormaux au cours de l'examen prénatal systématique de la mère;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O282;Résultats cytologiques anormaux au cours de l'examen prénatal systématique de la mère;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O283;Résultats échographiques anormaux au cours de l'examen prénatal systématique de la mère;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O284;Résultats radiologiques anormaux au cours de l'examen prénatal systématique de la mère;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O285;Résultats chromosomiques et génétiques anormaux au cours de l'examen prénatal systématique de la mère;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O288;Autres résultats anormaux au cours de l'examen prénatal systématique de la mère;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O289;Résultat anormal constaté au cours de l'examen prénatal systématique de la mère, sans précision;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O29;Complications d'une anesthésie au cours de la grossesse;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O290;Complications pulmonaires d'une anesthésie au cours de la grossesse;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O291;Complications cardiaques d'une anesthésie au cours de la grossesse;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
O292;Complications impliquant le système nerveux central dues à une anesthésie au cours de la grossesse;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autres recours obstétricaux
