"CODE ","REGROUPEMENTS ORUMIPS",,,,,,,,,,,
"CIM10","Code Type Urgences","Libéllé Type Urgences","Code Discipline / Topographie","Libellé Discipline / Topographie","Code Type Pathologie","Libéllé Type de Pathologie",,,,,,
"N751","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"N758","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"N760","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"N762","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"N764","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"N765","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"N766","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"N809","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"N819","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"N829","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"N832","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"N835","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"N849","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"N859","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"N86","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"N879","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"N889","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"N897","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"N898","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"N899","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"N909","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"N912","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"N915","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"N92","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN08","Méno - métrorragie et autre hémorragie génitale",,,,,
"N920","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN08","Méno - métrorragie et autre hémorragie génitale",,,,,
"N921","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN08","Méno - métrorragie et autre hémorragie génitale",,,,,
"N926","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"N930","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN08","Méno - métrorragie et autre hémorragie génitale",,,,,
"N939","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN08","Méno - métrorragie et autre hémorragie génitale",,,,,
"N941","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"N942","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"N943","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"N946","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"N950","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"N959","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"O009","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN04","GEU"," fausse couche"," hémorragie obstétricale",,,
"O019","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN04","GEU"," fausse couche"," hémorragie obstétricale",,,
"O021","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN04","GEU"," fausse couche"," hémorragie obstétricale",,,
"O029","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN04","GEU"," fausse couche"," hémorragie obstétricale",,,
"O035","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN04","GEU"," fausse couche"," hémorragie obstétricale",,,
"O036","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN04","GEU"," fausse couche"," hémorragie obstétricale",,,
"O037","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN04","GEU"," fausse couche"," hémorragie obstétricale",,,
"O039","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN04","GEU"," fausse couche"," hémorragie obstétricale",,,
"O045","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN04","GEU"," fausse couche"," hémorragie obstétricale",,,
"O046","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN04","GEU"," fausse couche"," hémorragie obstétricale",,,
"O047","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN04","GEU"," fausse couche"," hémorragie obstétricale",,,
"O049","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN04","GEU"," fausse couche"," hémorragie obstétricale",,,
"O070","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN04","GEU"," fausse couche"," hémorragie obstétricale",,,
"O071","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN04","GEU"," fausse couche"," hémorragie obstétricale",,,
"O072","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN04","GEU"," fausse couche"," hémorragie obstétricale",,,
"O074","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN04","GEU"," fausse couche"," hémorragie obstétricale",,,
"O080","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN04","GEU"," fausse couche"," hémorragie obstétricale",,,
"O081","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN04","GEU"," fausse couche"," hémorragie obstétricale",,,
"O082","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN04","GEU"," fausse couche"," hémorragie obstétricale",,,
"O089","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN04","GEU"," fausse couche"," hémorragie obstétricale",,,
"O109","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O122","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O13","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O140","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O141","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O142","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O149","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O150","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O151","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O152","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O200","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN04","GEU"," fausse couche"," hémorragie obstétricale",,,
"O208","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN04","GEU"," fausse couche"," hémorragie obstétricale",,,
"O219","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O222","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O223","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O225","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O230","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O231","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O249","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O264","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O268","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O28","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O300","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O301","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O309","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O343","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O35","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O364","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O429","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O430","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O431","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O432","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O439","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O441","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O450","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O459","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O470","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O600","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O601","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O679","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN04","GEU"," fausse couche"," hémorragie obstétricale",,,
"O709","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O720","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN04","GEU"," fausse couche"," hémorragie obstétricale",,,
"O722","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN04","GEU"," fausse couche"," hémorragie obstétricale",,,
"O751","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O800","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O801","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O809","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O840","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O85","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO03","Septicémies et sepsis",,,,,,
"O860","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"O862","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"O870","MED-CHIR","Médico-chirurgical","CARDIOV","Douleurs thoraciques"," pathologies cardio-vasculaires","CARDIOV11","Phlébite périphérique",,,,,
"O871","MED-CHIR","Médico-chirurgical","CARDIOV","Douleurs thoraciques"," pathologies cardio-vasculaires","CARDIOV11","Phlébite périphérique",,,,,
"O872","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST14","Proctologie",,,,,
"O873","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO03","Comas"," tumeurs"," encéphalopathies et autre atteinte du SNC",,,
"O881","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O882","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O900","AUTRE","Autre recours","AUTRE","Autres recours aux urgences","AUTRE01","Iatrogénie et complication post chirurgicale SAI",,,,,,
"O901","AUTRE","Autre recours","AUTRE","Autres recours aux urgences","AUTRE01","Iatrogénie et complication post chirurgicale SAI",,,,,,
"O902","AUTRE","Autre recours","AUTRE","Autres recours aux urgences","AUTRE01","Iatrogénie et complication post chirurgicale SAI",,,,,,
"O911","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O921","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O922","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"O987","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"O989","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"P010","MED-CHIR","Médico-chirurgical","GAUX","Signes généraux et autres pathologies","GAUX06","autres pathologies et signes généraux",,,,,,
"P040","MED-CHIR","Médico-chirurgical","GAUX","Signes généraux et autres pathologies","GAUX06","autres pathologies et signes généraux",,,,,,
"P070","MED-CHIR","Médico-chirurgical","GAUX","Signes généraux et autres pathologies","GAUX06","autres pathologies et signes généraux",,,,,,
"P071","MED-CHIR","Médico-chirurgical","GAUX","Signes généraux et autres pathologies","GAUX06","autres pathologies et signes généraux",,,,,,
"P072","MED-CHIR","Médico-chirurgical","GAUX","Signes généraux et autres pathologies","GAUX06","autres pathologies et signes généraux",,,,,,
"P073","MED-CHIR","Médico-chirurgical","GAUX","Signes généraux et autres pathologies","GAUX06","autres pathologies et signes généraux",,,,,,
"P109","TRAUMA","Traumatologique","TRAU_TETEC","Traumatologie de la tête et du cou","TRAU_CRANE","Traumatismes crâniens",,,,,,
"P120","TRAUMA","Traumatologique","TRAU_TETEC","Traumatologie de la tête et du cou","CONT_LS","Contusions et lésions superf cutanéo-muqueuses (hors plaies et CE)",,,,,,
"P219","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN13","autres recours obstétricaux",,,,,
"P220","MED-CHIR","Médico-chirurgical","PNEUMO","Dyspnées"," pathologies des voies aériennes inférieures","PNEUMO07","Insuffisance respiratoire aiguë",,,,,
"P229","MED-CHIR","Médico-chirurgical","PNEUMO","Dyspnées"," pathologies des voies aériennes inférieures","PNEUMO07","Insuffisance respiratoire aiguë",,,,,
"P249","MED-CHIR","Médico-chirurgical","PNEUMO","Dyspnées"," pathologies des voies aériennes inférieures","PNEUMO09","Pneumopathie",,,,,
"P251","MED-CHIR","Médico-chirurgical","PNEUMO","Dyspnées"," pathologies des voies aériennes inférieures","PNEUMO10","Pneumothorax non traumatique",,,,,
"P283","MED-CHIR","Médico-chirurgical","PNEUMO","Dyspnées"," pathologies des voies aériennes inférieures","PNEUMO11","autre atteinte des voies aériennes inférieures",,,,,
"P284","MED-CHIR","Médico-chirurgical","PNEUMO","Dyspnées"," pathologies des voies aériennes inférieures","PNEUMO11","autre atteinte des voies aériennes inférieures",,,,,
"P285","MED-CHIR","Médico-chirurgical","PNEUMO","Dyspnées"," pathologies des voies aériennes inférieures","PNEUMO11","autre atteinte des voies aériennes inférieures",,,,,
"P290","MED-CHIR","Médico-chirurgical","CARDIOV","Douleurs thoraciques"," pathologies cardio-vasculaires","CARDIOV09","Insuffisance cardiaque",,,,,
"P291","MED-CHIR","Médico-chirurgical","CARDIOV","Douleurs thoraciques"," pathologies cardio-vasculaires","CARDIOV13","Trouble du rythme et de la conduction",,,,,
"P299","MED-CHIR","Médico-chirurgical","CARDIOV","Douleurs thoraciques"," pathologies cardio-vasculaires","CARDIOV14","autres patho cardio-vasculaires",,,,,
"P369","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"P38","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"P399","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"P529","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO02","AVC"," AIT"," hémiplégie et syndrômes apparentés",,,
"P599","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST02","Ascite"," ictère et hépatopathie",,,,
"P704","MED-CHIR","Médico-chirurgical","GAUX","Signes généraux et autres pathologies","GAUX04","Diabète et troubles de la glycémie",,,,,,
"P741","MED-CHIR","Médico-chirurgical","GAUX","Signes généraux et autres pathologies","GAUX03","Déshydratation et trouble hydro-électrolytiques",,,,,,
"P769","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST10","Occlusion toute origine",,,,,
"P77","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST15","autres pathologies digestives et alimentaires",,,,,
"P783","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST04","Diarrhée et gastro-entérite",,,,,
"P90","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO05","Epilepsie et convulsions",,,,,
"P916","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO03","Comas"," tumeurs"," encéphalopathies et autre atteinte du SNC",,,
"P920","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST09","Nausées"," vomissements",,,,
"P921","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST15","autres pathologies digestives et alimentaires",,,,,
"P923","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST15","autres pathologies digestives et alimentaires",,,,,
"P925","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST15","autres pathologies digestives et alimentaires",,,,,
"P929","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST15","autres pathologies digestives et alimentaires",,,,,
"P95","MED-CHIR","Médico-chirurgical","GAUX","Signes généraux et autres pathologies","GAUX06","autres pathologies et signes généraux",,,,,,
"Q105","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"Q249","MED-CHIR","Médico-chirurgical","CARDIOV","Douleurs thoraciques"," pathologies cardio-vasculaires","CARDIOV14","autres patho cardio-vasculaires",,,,,
"Q320","MED-CHIR","Médico-chirurgical","PNEUMO","Dyspnées"," pathologies des voies aériennes inférieures","PNEUMO11","autre atteinte des voies aériennes inférieures",,,,,
"Q400","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST15","autres pathologies digestives et alimentaires",,,,,
"Q780","MED-CHIR","Médico-chirurgical","RHUMATO","Douleurs de membre"," rhumatologie"," orthopédie"," SNP","RHUMATO07","autre rhumato et syst nerveux périphérique",,,
"Q825","MED-CHIR","Médico-chirurgical","DERMATO","Dermato-allergologie et atteintes cutanéo-muqueuses","DERMATO10","autre affection dermatologique",,,,,,
"R000","MED-CHIR","Médico-chirurgical","CARDIOV","Douleurs thoraciques"," pathologies cardio-vasculaires","CARDIOV13","Trouble du rythme et de la conduction",,,,,
"R001","MED-CHIR","Médico-chirurgical","CARDIOV","Douleurs thoraciques"," pathologies cardio-vasculaires","CARDIOV13","Trouble du rythme et de la conduction",,,,,
"R030","MED-CHIR","Médico-chirurgical","CARDIOV","Douleurs thoraciques"," pathologies cardio-vasculaires","CARDIOV06","HTA et poussées tensionnelles",,,,,
"R031","MED-CHIR","Médico-chirurgical","CARDIOV","Douleurs thoraciques"," pathologies cardio-vasculaires","CARDIOV07","Hypotension artérielle sans mention de choc",,,,,
"R040","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS04","Epistaxis",,,,
"R041","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS08","autre atteinte des voies aéro-digestives sup",,,,
"R042","MED-CHIR","Médico-chirurgical","PNEUMO","Dyspnées"," pathologies des voies aériennes inférieures","PNEUMO06","Hémoptysie",,,,,
"R05","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS01","Angines"," amygdalites"," rhino-pharyngites"," toux",
"R060","MED-CHIR","Médico-chirurgical","PNEUMO","Dyspnées"," pathologies des voies aériennes inférieures","PNEUMO04","Dyspnée et gène respiratoire",,,,,
"R061","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS05","Laryngite"," trachéite et autre atteinte laryngée",,,
"R066","MED-CHIR","Médico-chirurgical","PNEUMO","Dyspnées"," pathologies des voies aériennes inférieures","PNEUMO04","Dyspnée et gène respiratoire",,,,,
"R070","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS01","Angines"," amygdalites"," rhino-pharyngites"," toux",
